商品名称,取引金額 (円),売上高成長率,販売数,商品レビュー,平均取引金額 (円),報酬率,クリエイター数,クリエイター取引成立率,アップロード時間,カテゴリー,ライブ取引金額 (円),動画取引金額 (円),TikTokリンク,Kalodata詳細リンク
【ELEKI LIFT 王道セット】ブライト エレキリフト 美顔器 Brighte ELEKI LIFT BLACK/ICE BLUE/PINK (ブライト エレキリフト ブラック/ブルー/ピンク),"7,286万円",5.8%,3326,4.6,2万円,-,31,83.87%,2026-05-16,美容・パーソナルケア,0円,"7,286万円",https://shop.tiktok.com/view/product/1735528481248543933?region=JP,https://www.kalodata.com/product/detail?id=1735528481248543933
【対象者限定クーポン発行中！】 松屋 公式 牛めしの具 30食 プレミアム仕様 牛めし 牛丼の具 まつや 牛丼 食品 グルメ 冷凍 冷凍食品 送料無料 おかず 惣菜 お弁当 非常食,"6,267万円",-78.2%,4669,4.8,1万円,5%,460,48.91%,2026-05-07,食品・飲料,"3,468万円","2,799万円",https://shop.tiktok.com/view/product/1735410896249390163?region=JP,https://www.kalodata.com/product/detail?id=1735410896249390163
【Lashaddict正規品】ラッシュアディクト アイラッシュ コンディショニング セラム アドバンス アイラッシュセラム まつげ美容液 まつエク まつパ 対応 まつげ 美容成分 ハリ コシ ボリューム ツヤ ペプチド 5ml soaddicted,"4,583万円",-7.3%,6818,4.7,"6,721円",1%,71,66.2%,2026-08-04,美容・パーソナルケア,"4,535万円",48万円,https://shop.tiktok.com/view/product/1736468235713153023?region=JP,https://www.kalodata.com/product/detail?id=1736468235713153023
[予約販売] Beelicious ノンフライヤー 4.5L 大容量、静音マットブラック ・見える窓付き、エアフライヤー、油カット、省エネ、最高温度220℃、1-5人用、家庭用、テーブルトップ、電動フライヤー,"4,115万円",-32%,7181,4.5,"5,730円",10%,1112,34.35%,2025-07-23,家電製品,"2,050万円","2,065万円",https://shop.tiktok.com/view/product/1731949276221769405?region=JP,https://www.kalodata.com/product/detail?id=1731949276221769405
新発売記念 YETE アイスクリーム脱毛器 サファイア10℃冷却ケア 28.8J大エネルギー ダブルパルス高速処理 家庭用 軽量350g,"3,214万円",-29.9%,1825,4.7,2万円,15%,279,26.88%,2026-06-07,美容・パーソナルケア,"2,215万円",999万円,https://shop.tiktok.com/view/product/1735897778210243670?region=JP,https://www.kalodata.com/product/detail?id=1735897778210243670
【オリヤン1位美顔器】 マミーケア  EMSブイセラ (江南エステ導入 / 二重あご / 輪郭 / たるみ),"3,169万円",144.7%,3736,4.4,"8,482円",8%,275,44.73%,2026-08-09,美容・パーソナルケア,"1,812万円","1,357万円",https://shop.tiktok.com/view/product/1736662846477206785?region=JP,https://www.kalodata.com/product/detail?id=1736662846477206785
【TYMO公式】自動巻きカールアイロン CURLPRO｜初心者向け・ワンタッチ全自動カール｜1年保証付き・製品不具合の場合は無料交換｜直径32mmのやや太めの Barrel で、自然でゆるやかなカールに。推奨ヘア長：肩〜胸下程度｜約10分でサロン級のカール、360°の熱対策・絡まり防止・左右巻き切り替え、8秒お知らせ機能、マイナスイオン搭載｜ショート・ボブ・ロングに対応,"2,732万円",123.7%,3579,4.6,"7,633円",8%,167,40.12%,2026-03-30,美容・パーソナルケア,597万円,"2,135万円",https://shop.tiktok.com/view/product/1734578993180607721?region=JP,https://www.kalodata.com/product/detail?id=1734578993180607721
R8.栃木県産 とちぎの星 精米,"2,683万円",-65.1%,18056,4.2,"1,486円",2%,411,53.77%,2026-08-11,食品・飲料,"1,845万円",838万円,https://shop.tiktok.com/view/product/1736665753631032962?region=JP,https://www.kalodata.com/product/detail?id=1736665753631032962
【SPICARE正規品】SPICARE V3 ファンデーション スピケア 崩れない カバー力 肌に優しい 美肌 保湿 保湿成分配合 ツヤ ハリ感 本体 レフィル パフ付き 15g,"2,320万円",-62.3%,4445,4.5,"5,219円",-,38,92.11%,2026-08-10,美容・パーソナルケア,"2,316万円",3万円,https://shop.tiktok.com/view/product/1736468915084494847?region=JP,https://www.kalodata.com/product/detail?id=1736468915084494847
送料無料  高音質ワイヤレスイヤホン Bluetoothイヤホン 耳掛け式 軽量フィット 折りたたみ収納 IPX5防水 防汗 145時間再生 通勤・運動・ランニング向け プレゼントにも喜ばれる実用モデル,"2,270万円",-22.1%,6327,4.3,"3,588円",12%,262,31.3%,2025-09-15,スマートフォン・エレクトロニクス,59万円,"2,211万円",https://shop.tiktok.com/view/product/1731955896253383894?region=JP,https://www.kalodata.com/product/detail?id=1731955896253383894
