商品名称,取引金額 (円),売上高成長率,販売数,商品レビュー,平均取引金額 (円),報酬率,クリエイター数,クリエイター取引成立率,アップロード時間,カテゴリー,ライブ取引金額 (円),動画取引金額 (円),TikTokリンク,Kalodata詳細リンク
「ウォーターピーリング 美顔器 毛穴ケア 超音波ピーリング IPX5防水 イオン導入/導出 温熱機能付 洗顔器 USB充電式 電池残量表示 汚れとり 黒ずみ ニキビ 角栓 角質 角質ケア 皮脂 美肌 ems 全身ケア コンパクト 持ち運び便利 母の日,172万円,>999.9%,413,4.1,"4,175円",12%,10,60%,2026-09-10,美容・パーソナルケア,0円,172万円,https://shop.tiktok.com/view/product/1737422706776246065?region=JP,https://www.kalodata.com/product/detail?id=1737422706776246065
国内発送 送料無料 まつ毛下地 マスカラベース ロングボリューム カールキープ 螺旋ブラシ 防水 にじまない 持続力アップ セパレート仕上げ,87万円,>999.9%,250,4.4,"3,469円",8%,5,100%,2026-09-12,美容・パーソナルケア,0円,87万円,https://shop.tiktok.com/view/product/1737468909241862040?region=JP,https://www.kalodata.com/product/detail?id=1737468909241862040
dadawoca·永遠の輝き 6本爪 モアサナイト スタッドピアス 一粒ジュエリー 両耳用 上品 日常使い ギフト,66万円,>999.9%,578,4.4,"1,134円",10%,7,85.71%,2026-09-13,ジュエリーアクセサリー・デリバティブ,64万円,2万円,https://shop.tiktok.com/view/product/1737239572623230128?region=JP,https://www.kalodata.com/product/detail?id=1737239572623230128
レインコート レディース 自転車用 リュック対応 レインポンチョ 二重ツバ 超撥水 反射テープ ポケット付 通学用かっぱ レインシューズカバーＳ～2XL,58万円,>999.9%,366,4.2,"1,586円",10%,62,46.77%,2026-09-03,ホーム用品,"1,957円",58万円,https://shop.tiktok.com/view/product/1736696027290765178?region=JP,https://www.kalodata.com/product/detail?id=1736696027290765178
【パッケージは無地】【令和8年産新米】新潟県産こしいぶき 精米 (5㎏/10kg) 令和8年産 お米のたかさか,239万円,>999.9%,872,,"2,738円",3%,14,85.71%,2026-09-20,食品・飲料,234万円,5万円,https://shop.tiktok.com/view/product/1737574025121269477?region=JP,https://www.kalodata.com/product/detail?id=1737574025121269477
ペア 半タートルネック 長袖インナー 秋冬用 厚手 ルーズフィット メンズ レディース あったかTシャツ,106万円,>999.9%,294,3.5,"3,616円",8%,47,46.81%,2026-09-08,メンズウェア・下着,0円,106万円,https://shop.tiktok.com/view/product/1737400778012787985?region=JP,https://www.kalodata.com/product/detail?id=1737400778012787985
レディース ジップアップパーカー ゆったりルーズシルエット アウター 2026新作,180万円,>999.9%,522,2.2,"3,449円",6%,26,57.69%,2026-09-08,レディースウェア・インナー,0円,180万円,https://shop.tiktok.com/view/product/1737393495801365526?region=JP,https://www.kalodata.com/product/detail?id=1737393495801365526
2026秋新作 ユニセックス カラフルマウンテンパーカー ビッグシルエット 防風アウター,402万円,>999.9%,1718,,"2,341円",8%,164,37.8%,2026-09-09,メンズウェア・下着,10万円,392万円,https://shop.tiktok.com/view/product/1737389514315368173?region=JP,https://www.kalodata.com/product/detail?id=1737389514315368173
BBX リポソームNMN リポソームビタミンCサプリ90錠（30日分）【医師監修/日本製】 栄養機能食品 ビタミンC ビタミンE ビオチン ビタミンA ビタミンD NMN サプリメント,79万円,>999.9%,130,4,"6,115円",12%,1,100%,2026-09-19,健康,0円,79万円,https://shop.tiktok.com/view/product/1736911629573719165?region=JP,https://www.kalodata.com/product/detail?id=1736911629573719165
<SISI×Cue's限定>新商品TECA含めたアイムユアヒーロー4種コンプリートセット！今ならAWAパック1枚と使い捨てコットン40枚ついてくる！,75万円,>999.9%,63,,1万円,-,5,100%,2026-09-16,美容・パーソナルケア,75万円,0円,https://shop.tiktok.com/view/product/1737499829011776615?region=JP,https://www.kalodata.com/product/detail?id=1737499829011776615
Gap公式 キャンバス フェイバリットトート ユニセックス 1183625,81万円,>999.9%,136,5,"5,938円",6%,43,32.56%,2026-09-10,旅行かばん・バッグ,2万円,79万円,https://shop.tiktok.com/view/product/1737426585910806289?region=JP,https://www.kalodata.com/product/detail?id=1737426585910806289
HAVIT TW992 ノイズキャンセリング・デュアルANC＋ENC搭載。最大34時間再生に対応した高性能ワイヤレスイヤホン。,69万円,>999.9%,389,4.7,"1,783円",10%,8,50%,2026-09-01,スマートフォン・エレクトロニクス,"8,981円",68万円,https://shop.tiktok.com/view/product/1737296232716469640?region=JP,https://www.kalodata.com/product/detail?id=1737296232716469640
【ABITOKYO】CONC リンクルインジェクション Gen2　410,267万円,>999.9%,449,,"5,944円",-,2,100%,2026-09-18,美容・パーソナルケア,267万円,0円,https://shop.tiktok.com/view/product/1737297515538777322?region=JP,https://www.kalodata.com/product/detail?id=1737297515538777322
ルームウェア 上下セット 腹巻付き 部屋着 FREEサイズ 温活 あったか 軽量 楽ちん パジャマ ナイトウェア 秋冬 レディース（Ｔ）【it-0215】,54万円,>999.9%,77,5,"6,952円",8%,6,33.33%,2026-09-16,レディースウェア・インナー,54万円,0円,https://shop.tiktok.com/view/product/1737517363283199794?region=JP,https://www.kalodata.com/product/detail?id=1737517363283199794
2026年冬新作 スタンドカラー 長袖 ゆったり ウールコート アウター,110万円,>999.9%,352,,"3,126円",13%,77,32.47%,2026-09-06,レディースウェア・インナー,0円,110万円,https://shop.tiktok.com/view/product/1737335296954500663?region=JP,https://www.kalodata.com/product/detail?id=1737335296954500663
※SW明け9/24日発送対応※V7381AW 秋冬新作 VIVIAN ヴィヴィアン ブーツ レディース ストレッチブーツ ショートブーツ 5cm プレートヒール スクエアトゥ 仕事 オフィス ブラック 黒 ブラウン スエード,115万円,>999.9%,236,4.9,"4,881円",10%,17,35.29%,2026-09-10,靴,113万円,2万円,https://shop.tiktok.com/view/product/1737298758206261246?region=JP,https://www.kalodata.com/product/detail?id=1737298758206261246
※SW明け9/24日発送対応※V6265AW もふぽか 防寒 暖かい 秋冬新作 VIVIAN ヴィヴィアン 厚底 ムートン スリッパ サボ チャンキーヒール つっかけ 撥水 ボア ファー サボサンダル,61万円,>999.9%,178,4.6,"3,411円",10%,12,41.67%,2026-09-01,靴,61万円,0円,https://shop.tiktok.com/view/product/1737298058560767998?region=JP,https://www.kalodata.com/product/detail?id=1737298058560767998
[クロックス公式ストア] クロックス スモール バスケット ウーブン トート,215万円,>999.9%,341,4.6,"6,290円",12%,114,38.6%,2026-09-03,旅行かばん・バッグ,37万円,178万円,https://shop.tiktok.com/view/product/1737283475818448281?region=JP,https://www.kalodata.com/product/detail?id=1737283475818448281
シャワーヘッド単品｜6段階水流・手元止水ボタン付き 増圧タイプ 浴室用 取り付け簡単,54万円,>999.9%,165,2.4,"3,256円",5%,11,90.91%,2026-09-12,ホームセンター,7万円,47万円,https://shop.tiktok.com/view/product/1737373913055397622?region=JP,https://www.kalodata.com/product/detail?id=1737373913055397622
クリアジーノ ダーマステム集中ナイトクリーム 30g / ダーマステムリペアエッセンス 30ml,161万円,>999.9%,84,4.7,2万円,11%,2,100%,2026-09-10,美容・パーソナルケア,161万円,0円,https://shop.tiktok.com/view/product/1737445051872871988?region=JP,https://www.kalodata.com/product/detail?id=1737445051872871988
メンズ秋冬カーゴトラックスーツ 2点セット、フード付きフルジップ多ポケットジャケット＋ドローコード・裾リブ仕様カーゴスウェットパンツ、ファスナーポケット付きルーズな機能性セットアップ、アウトドア・ストリート・普段使いのカジュアルウェア、多色展開、S〜3XLサイズ在庫あり,105万円,>999.9%,633,,"1,664円",10%,50,40%,2026-09-03,メンズウェア・下着,0円,105万円,https://shop.tiktok.com/view/product/1737170005953840651?region=JP,https://www.kalodata.com/product/detail?id=1737170005953840651
山茶花の上品な香り長持ち 5in1 濃縮洗濯ジェルボール 大容量バケツ入り 洗浄・柔軟・消臭・除菌・芳香オールインワン洗剤,110万円,>999.9%,345,,"3,176円",2%,16,75%,2026-09-05,ホーム用品,0円,110万円,https://shop.tiktok.com/view/product/1737335292957131796?region=JP,https://www.kalodata.com/product/detail?id=1737335292957131796
メンズ 2 点セット 2026 春秋新作 キルティング調坑条素材 シャツジャケット + スラックス セットアップ 肌理感 ルーズシルエット カジュアル スポーツ 通勤 デイリーコーデ オーバーサイズ 楽ちん着こなし メンズファッション,55万円,>999.9%,110,,"4,985円",8%,19,63.16%,2026-09-08,メンズウェア・下着,0円,55万円,https://shop.tiktok.com/view/product/1737396123600258701?region=JP,https://www.kalodata.com/product/detail?id=1737396123600258701
秋冬万能トレンドブランド男女兼用ニットジャケット 2026年秋 ワッフル Vネック リラックス感 カップル カジュアルアウター トップス,90万円,>999.9%,446,,"2,018円",8%,38,47.37%,2026-09-10,自動車・バイク,2万円,88万円,https://shop.tiktok.com/view/product/1737376408039098361?region=JP,https://www.kalodata.com/product/detail?id=1737376408039098361
【今週限定63%OFF】くしゅくしゅ毛布 ふんわりなめらか あったか毛布 ふわとろ静電気を軽減 洗える シングル ダブル 秋冬 ブランケット,246万円,>999.9%,1157,4,"2,123円",15%,95,28.42%,2026-08-27,テキスタイル・ソフトファニシング,9万円,236万円,https://shop.tiktok.com/view/product/1737234207159452723?region=JP,https://www.kalodata.com/product/detail?id=1737234207159452723
dadawoca·上品な輝き 四つ葉のクローバー ネックレス 幸運モチーフ 大人可愛い 首元ジュエリー プレゼント,59万円,>999.9%,297,4.7,"1,977円",15%,4,100%,2026-09-13,ジュエリーアクセサリー・デリバティブ,59万円,0円,https://shop.tiktok.com/view/product/1737325927518995632?region=JP,https://www.kalodata.com/product/detail?id=1737325927518995632
【HUG.U】 2026AW新作 スカート 「 もちリッチ 」 タイトスカート レディース ボトムス ナロースカート Iライン ペンシル ロング g330,61万円,>999.9%,184,5,"3,295円",10%,12,83.33%,2026-09-09,レディースウェア・インナー,46万円,14万円,https://shop.tiktok.com/view/product/1737411276050564492?region=JP,https://www.kalodata.com/product/detail?id=1737411276050564492
新作 秋冬 レディースセットアップ 丸首トップス ワイドレッグパンツ 2 点セット ゆったり快適,66万円,>999.9%,288,,"2,276円",12%,28,53.57%,2026-09-09,レディースウェア・インナー,0円,66万円,https://shop.tiktok.com/view/product/1737360375392470372?region=JP,https://www.kalodata.com/product/detail?id=1737360375392470372
【特別クーポン50％OFF】ハロウィン 超ド級450gのスーパージャンボクーヘン3種(バニラ・メープル・安納芋)  （450g×3）,115万円,>999.9%,314,4.8,"3,669円",5%,26,69.23%,2026-09-07,食品・飲料,40万円,76万円,https://shop.tiktok.com/view/product/1737182484417381973?region=JP,https://www.kalodata.com/product/detail?id=1737182484417381973
英会話 AI トレーニング機 139 言語双方向翻訳 文法チェック 情景練習 ポータブル翻訳機 Bluetooth 接続 Type‑C 充電,62万円,>999.9%,134,,"4,657円",-,3,66.67%,2026-09-09,スマートフォン・エレクトロニクス,0円,62万円,https://shop.tiktok.com/view/product/1737423714202846744?region=JP,https://www.kalodata.com/product/detail?id=1737423714202846744
車用スマホホルダー ナノゲル吸着×真空吸盤W固定構造 360度回転 片手操作 iPhone/Android全機種対応 カー用品,277万円,>999.9%,670,4,"4,130円",8%,11,36.36%,2026-09-15,自動車・バイク,0円,277万円,https://shop.tiktok.com/view/product/1737500241643931046?region=JP,https://www.kalodata.com/product/detail?id=1737500241643931046
シャツジャケット メンズ 長袖 秋服 ヘリンボーン ストライプ柄 千鳥格子柄 襟付き アウター 羽織り ユニセックス ルーズフィット オーバーサイズ ハイセンス 日系 レトロ カップル ペアコーデ トップス,60万円,>999.9%,304,4,"1,990円",5%,59,52.54%,2026-09-02,メンズウェア・下着,0円,60万円,https://shop.tiktok.com/view/product/1737286579862406323?region=JP,https://www.kalodata.com/product/detail?id=1737286579862406323
【LIVE限定セット】TYMO  ヘアアレンジセット,286万円,>999.9%,251,4,1万円,8%,22,90.91%,2026-09-11,美容・パーソナルケア,284万円,2万円,https://shop.tiktok.com/view/product/1737464322498594025?region=JP,https://www.kalodata.com/product/detail?id=1737464322498594025
2026年クリスマスアドベントカレンダー、24日間カウントダウンカレンダー、ラメ付きミニ餃子型スクイーズおもちゃ、子ども向けのクリスマスギフト,148万円,>999.9%,847,,"1,746円",8%,22,54.55%,2026-09-10,ホーム用品,0円,148万円,https://shop.tiktok.com/view/product/1737441646702068913?region=JP,https://www.kalodata.com/product/detail?id=1737441646702068913
めくれるポーチ トラベルポーチ 小物ポーチ マルチポーチ 小物入れ コスメ収納 旅行 お出かけ アクセサリー ガジェット トラベルグッズ,450万円,>999.9%,1282,5,"3,511円",8%,24,54.17%,2026-09-15,旅行かばん・バッグ,4万円,446万円,https://shop.tiktok.com/view/product/1737516551391512049?region=JP,https://www.kalodata.com/product/detail?id=1737516551391512049
【ENISI】【新作】ふんわりと軽やかなシフォン素材が、女性らしい上品さを演出するプリーツワンピース,66万円,>999.9%,209,5,"3,148円",8%,18,66.67%,2026-09-08,レディースウェア・インナー,44万円,22万円,https://shop.tiktok.com/view/product/1737406007663691622?region=JP,https://www.kalodata.com/product/detail?id=1737406007663691622
Gap公式 CashSoft カシミヤタッチ オーバーサイズ Vネックセーター ウィメンズ 912518,62万円,>999.9%,106,,"5,854円",6%,9,33.33%,2026-09-07,レディースウェア・インナー,0円,62万円,https://shop.tiktok.com/view/product/1737110035890472721?region=JP,https://www.kalodata.com/product/detail?id=1737110035890472721
レディース リブ長袖Tシャツ ボタンデザイン 無地 スリムフィット 韓国風カットソー 秋用トップス インナー 着回し 通勤通学,156万円,>999.9%,353,,"4,411円",6%,48,27.08%,2026-09-11,レディースウェア・インナー,0円,156万円,https://shop.tiktok.com/view/product/1737451791204845267?region=JP,https://www.kalodata.com/product/detail?id=1737451791204845267
【秋冬新作】スクエアネック リブニット セクシー美シルエット 防寒万能 インナー・アウター対応 上品でお出かけ映え,82万円,>999.9%,403,2.3,"2,044円",8%,34,50%,2026-09-09,自動車・バイク,0円,82万円,https://shop.tiktok.com/view/product/1737336937573681145?region=JP,https://www.kalodata.com/product/detail?id=1737336937573681145
1円のフード付きレディーススウェットシャツ、2026年新作、和風、ゆったりシルエット、薄手、裏起毛、合わせやすいアウター、快適で合わせやすいトップス,232万円,>999.9%,591,,"3,923円",12%,23,82.61%,2026-09-14,ホーム用品,0円,232万円,https://shop.tiktok.com/view/product/1737495155402310912?region=JP,https://www.kalodata.com/product/detail?id=1737495155402310912
ボン モイスト ヘアミルク 濃密補修 水分チャージ 90ml 日本製,102万円,>999.9%,907,5,"1,126円",-,7,100%,2026-09-10,美容・パーソナルケア,96万円,6万円,https://shop.tiktok.com/view/product/1737345625064179477?region=JP,https://www.kalodata.com/product/detail?id=1737345625064179477
逆さ傘 折りたたみ傘 日傘 晴雨傘 大きいめサイズ 99.9%UVカット UPF50+ 100%遮光 遮熱 逆戻り防止 ワンタッチ 自動開閉 10本骨 耐強風 超軽量 撥水加工 UV対策 熱中症対策 紫外線対策 男女兼用,126万円,>999.9%,290,4.2,"4,354円",12%,3,100%,2026-09-11,ホーム用品,"4,079円",126万円,https://shop.tiktok.com/view/product/1737422691674130225?region=JP,https://www.kalodata.com/product/detail?id=1737422691674130225
後部座席がふかふかベッドに！車載用エアマット｜枕付き・分離式サポート・セダン／SUV／ミニバン対応,88万円,>999.9%,220,,"3,979円",8%,15,40%,2026-09-01,自動車・バイク,0円,88万円,https://shop.tiktok.com/view/product/1737217563266155795?region=JP,https://www.kalodata.com/product/detail?id=1737217563266155795
ROBE 前後2WAY配色刺繍ニット【31937】,51万円,>999.9%,29,,2万円,13%,3,33.33%,2026-09-13,レディースウェア・インナー,51万円,0円,https://shop.tiktok.com/view/product/1737487472981673592?region=JP,https://www.kalodata.com/product/detail?id=1737487472981673592
「日本監修 秋冬新作2枚セット50％OFF」履くだけで美脚見えあったか裏起毛レギンスパンツ｜細見え・脚長見え・ラクな履き心地・秋冬の毎日コーデに◎2575,53万円,>999.9%,312,,"1,699円",13%,22,100%,2026-09-12,自動車・バイク,9万円,44万円,https://shop.tiktok.com/view/product/1737410751664850636?region=JP,https://www.kalodata.com/product/detail?id=1737410751664850636
【新作限定｜50％OFF】逆ヒールサンダル｜履くだけで美脚見え｜日本監修｜土踏まずにフィットする深めのアーチ設計｜脚のラインをすっきり見せる・軽量EVA・滑りにくい凹凸ソール｜室内外OK,126万円,>999.9%,652,3.7,"1,933円",13%,53,94.34%,2026-09-03,家具,2万円,124万円,https://shop.tiktok.com/view/product/1737316253122201292?region=JP,https://www.kalodata.com/product/detail?id=1737316253122201292
SaiKuCo【2枚入】着圧レギンス 着圧スパッツ レディース ハイウエスト・お腹引き締め 着圧 レギンス スパッツ 着圧タイツ 秋冬モデル 美脚 柔らかい 脚痩せ むくみ ダイエット タイツ グラマラス ダイエット ヨガ,197万円,>999.9%,692,4.4,"2,848円",5%,40,52.5%,2026-09-07,レディースウェア・インナー,36万円,161万円,https://shop.tiktok.com/view/product/1737391558143608711?region=JP,https://www.kalodata.com/product/detail?id=1737391558143608711
【dadawoca】レザー製 車載ドアポケット 車用ドリンクホルダー スマホホルダー 小物入れ カーアクセサリー,182万円,>999.9%,1961,3.2,930円,8%,75,41.33%,2026-09-06,自動車・バイク,3万円,180万円,https://shop.tiktok.com/view/product/1737374734610499153?region=JP,https://www.kalodata.com/product/detail?id=1737374734610499153
レディースニットベスト ゆったり無地 重ね着レイヤードコーデ 秋服 多色展開,52万円,>999.9%,169,4.6,"3,083円",13%,40,72.5%,2026-09-05,レディースウェア・インナー,1万円,51万円,https://shop.tiktok.com/view/product/1737326686314661765?region=JP,https://www.kalodata.com/product/detail?id=1737326686314661765
【冷凍】北海道産 天然つぶ貝（2種MIX）1袋500g〜 ボイル・下処理済み ※20日以降の注文は24日以降の対応となります,188万円,>999.9%,439,4.2,"4,286円",5%,13,69.23%,2026-09-03,食品・飲料,79万円,109万円,https://shop.tiktok.com/view/product/1737234677140587731?region=JP,https://www.kalodata.com/product/detail?id=1737234677140587731
DNZZS スウェット プルスウェット 男 裏起毛 ふんわり 秋 冬 ヴィンテージ感 クルーネック カジュアル 柔らかい 通気 すっきり デイリー コーデ  おしゃれ シンプル ファッション リラックス ゆったり オーバーサイズ ストリートLT-MT-111,677万円,>999.9%,2944,4.5,"2,301円",5%,125,18.4%,2026-08-26,スポーツ・アウトドア,4万円,674万円,https://shop.tiktok.com/view/product/1737108282725467766?region=JP,https://www.kalodata.com/product/detail?id=1737108282725467766
「ユニセックス」スタイリッシュなフレームレス調光器メガネ、ブルーライトカット機能付きき、豪華な金属製テンプルを用意するえ、0～400DOOのDOO数の選択がたぶんで、実用セックスとファッション性を両方ね用意するえています。ブルーライトカットとUV調光機能付ききのサングラス、フレームレスデザイン、スタイリッシュでMEIしい外観、度払いきまたは度なしレンズを選択可能、超軽量で快适、目の疲れれを軽減する、キャットアイデザイン、クリアなビジョン、カラーレンズ、ビジネス、旅行する、メ,118万円,>999.9%,262,4,"4,522円",11%,23,34.78%,2026-09-08,ファッション小物,0円,118万円,https://shop.tiktok.com/view/product/1737386614181365749?region=JP,https://www.kalodata.com/product/detail?id=1737386614181365749
鍋蓋スタンド、まな板スタンド、多機能キッチンラック、テーブルトップ、水切りラック、お玉ホルダー、鍋蓋、まな板、調理器具、収納ラック,62万円,>999.9%,762,2.7,816円,10%,46,23.91%,2026-09-06,キッチン用品,"3,541円",62万円,https://shop.tiktok.com/view/product/1737329953990018431?region=JP,https://www.kalodata.com/product/detail?id=1737329953990018431
【送料無料】睡眠用イヤホン  ナイトヘッドホン、ワイヤレスイヤホン、Bluetooth、完全ワイヤレスイヤホン、小型・軽量、横向きでの睡眠に対応、ホワイトノイズ、Earjoyアプリ対応、カスタムEQ、タッチ操作、3色展開、男女兼用、誕生日・母の日・父の日・クリスマスのプレゼント・ギフト,63万円,>999.9%,165,5,"3,808円",12%,8,62.5%,2026-09-04,スマートフォン・エレクトロニクス,0円,63万円,https://shop.tiktok.com/view/product/1737348499979797718?region=JP,https://www.kalodata.com/product/detail?id=1737348499979797718
QOU 洗濯に強く型崩れしにくいハイウエストガードル、お腹ラインを整えるパンツ、シームレス、ヒップラインアップショーツ、高伸縮シームレスボディスーツ、ハイウエストシェイピングパンツ,133万円,>999.9%,347,4.7,"3,834円",13%,16,25%,2026-09-06,レディースウェア・インナー,123万円,10万円,https://shop.tiktok.com/view/product/1737379783004030496?region=JP,https://www.kalodata.com/product/detail?id=1737379783004030496
歯ブラシ除菌器 壁掛け 充電式 UV-C除菌 スピード乾燥 T字カミソリ 穴あけ不要 カビ防止 洗面所 衛生 （Ｔ）【euni-169】,86万円,>999.9%,244,4.3,"3,522円",9%,16,87.5%,2026-08-26,ホーム用品,25万円,61万円,https://shop.tiktok.com/view/product/1737212704621102898?region=JP,https://www.kalodata.com/product/detail?id=1737212704621102898
【特別クーポン50％オフ】プレミアムクリームサンド8個入（あんバター／ドバイチョコ風／ ドバイチョコ風、あんバター各4個）バームクーヘン バウムクーヘン スイーツ お菓子 ※当商品は賞味期限約30日です。常温メール便での発送となります。  簡易包装でお届けしております。そのため、商品に割れや崩れが生じる場合がございます。  ただし、品質や味には一切問題ございませんので、安心してお召し上がりください。,90万円,>999.9%,505,4.3,"1,778円",5%,73,56.16%,2026-09-01,食品・飲料,47万円,43万円,https://shop.tiktok.com/view/product/1737281936054388309?region=JP,https://www.kalodata.com/product/detail?id=1737281936054388309
AYUNE NO.3 セラム　導入美容液　グリシルグリシン　美容皮膚科医推奨　毛穴悩み,102万円,>999.9%,493,5,"2,070円",11%,9,66.67%,2026-08-28,美容・パーソナルケア,0円,102万円,https://shop.tiktok.com/view/product/1737237643018340224?region=JP,https://www.kalodata.com/product/detail?id=1737237643018340224
【5個セット・上まつげ】ミッシュブルーミン,54万円,>999.9%,318,5,"1,689円",-,5,60%,2026-08-29,美容・パーソナルケア,0円,54万円,https://shop.tiktok.com/view/product/1737000054826239004?region=JP,https://www.kalodata.com/product/detail?id=1737000054826239004
【Zzmm Select】コードレス電動ミニフードプロセッサー ワイヤレス充電式 多機能調理器具 ミンチ・みじん切り対応 ベビー離乳食OK 小型携帯便利 水洗い可能 時短キッチンツール 家庭用,85万円,>999.9%,553,3,"1,542円",5%,35,68.57%,2026-08-26,家電製品,0円,85万円,https://shop.tiktok.com/view/product/1737187899396949119?region=JP,https://www.kalodata.com/product/detail?id=1737187899396949119
Radi-Cool素材使用／日傘 折りたたみ 形状記憶 完全遮光 自動開閉 傘 超軽量 わずか210g 折りたたみ傘 ワンタッチ 自動開閉 遮熱 涼しい 晴雨兼用 遮光率100% UVカット 頑丈 撥水加工 風に強い 親骨 6本骨「年間ランキング受賞」,481万円,>999.9%,1114,4.2,"4,314円",15%,84,59.52%,2026-09-04,ホーム用品,0円,481万円,https://shop.tiktok.com/view/product/1737345058652588028?region=JP,https://www.kalodata.com/product/detail?id=1737345058652588028
