商品名,取引金額 (円),投稿日,1000視聴回数取引金額 (円),広告視聴率,視聴回数,クリエイター,フォロワー数,動画ID,動画リンク
【ELEKI LIFT 王道セット】ブライト エレキリフト 美顔器 Brighte ELEKI LIFT BLACK/ICE BLUE/PINK (ブライト エレキリフト ブラック/ブルー/ピンク),825万円,2026-08-09,"1,682円",16.55%,490.63万,@yome.__.ck,31.77万,7671990884975578389,https://www.tiktok.com/@yome.__.ck/video/7671990884975578389
【水光チャージセット】エレキリフトジェル / ブライト エレキリフト 美顔器 Brighte ELEKI LIFT BLACK/ICE BLUE/PINK (ブライト エレキリフト ブラック/ブルー/ピンク),471万円,2026-09-17,807円,5.95%,584.23万,@kira_nazotoki,"2,635",7686457058228620552,https://www.tiktok.com/@kira_nazotoki/video/7686457058228620552
【ELEKI LIFT 王道セット】ブライト エレキリフト 美顔器 Brighte ELEKI LIFT BLACK/ICE BLUE/PINK (ブライト エレキリフト ブラック/ブルー/ピンク),469万円,2026-07-25,"2,049円",21.18%,228.77万,@mei_ama,35.05万,7666406491372408085,https://www.tiktok.com/@mei_ama/video/7666406491372408085
【ELEKI LIFT 王道セット】ブライト エレキリフト 美顔器 Brighte ELEKI LIFT BLACK/ICE BLUE/PINK (ブライト エレキリフト ブラック/ブルー/ピンク),376万円,2026-07-08,"2,139円",22.41%,175.78万,@enerugi_shunanoda,16.25万,7660064425243610375,https://www.tiktok.com/@enerugi_shunanoda/video/7660064425243610375
【TYMO公式】自動巻きカールアイロン CURLPRO｜初心者向け・ワンタッチ全自動カール｜1年保証付き・製品不具合の場合は無料交換｜直径32mmのやや太めの Barrel で、自然でゆるやかなカールに。推奨ヘア長：肩〜胸下程度｜約10分でサロン級のカール、360°の熱対策・絡まり防止・左右巻き切り替え、8秒お知らせ機能、マイナスイオン搭載｜ショート・ボブ・ロングに対応,369万円,2026-09-18,803円,6.46%,460.05万,@amemiii_nancy,12.22万,7686878049513688341,https://www.tiktok.com/@amemiii_nancy/video/7686878049513688341
めくれるポーチ トラベルポーチ 小物ポーチ マルチポーチ 小物入れ コスメ収納 旅行 お出かけ アクセサリー ガジェット トラベルグッズ,342万円,2026-09-15,"2,895円",33.91%,117.98万,@bag_atrise,"7,013",7685686586930957586,https://www.tiktok.com/@bag_atrise/video/7685686586930957586
【肉厚1kg　銀鮭】 切り身 チリ産 冷凍 塩鮭 焼き魚 お弁当 朝ごはん 業務用,156万円,2026-09-12,"4,482円",47.51%,34.9万,@hapimaru_food,1.13万,7684582008047029512,https://www.tiktok.com/@hapimaru_food/video/7684582008047029512
【公式】 KITEN バルーンラッシュ まつ毛美容液 8ml,139万円,2026-09-15,661円,6.28%,210万,@mamikosuzukinozaki,286,7685587004028947713,https://www.tiktok.com/@mamikosuzukinozaki/video/7685587004028947713
【素肌アプデセット】エレキリフトジェルセット / ブライト エレキリフト 美顔器 Brighte ELEKI LIFT BLACK/ICE BLUE/PINK (ブライト エレキリフト ブラック/ブルー/ピンク),137万円,2026-08-24,"1,676円",3.73%,81.9万,@kira_nazotoki,"2,635",7677610103507275015,https://www.tiktok.com/@kira_nazotoki/video/7677610103507275015
柔らか肌触り メンズワイドパンツ 秋 ゆったりリラックスパンツ 無地ロングパンツ ウエストゴム 大きいサイズ M‑5XL,126万円,2026-09-08,"1,453円",17.03%,86.93万,@_tonsokuchan,541,7683077604575874324,https://www.tiktok.com/@_tonsokuchan/video/7683077604575874324
