商品名,取引金額 (円),投稿日,1000視聴回数取引金額 (円),広告視聴率,視聴回数,クリエイター,フォロワー数,動画ID,動画リンク
【水光チャージセット】エレキリフトジェル / ブライト エレキリフト 美顔器 Brighte ELEKI LIFT BLACK/ICE BLUE/PINK (ブライト エレキリフト ブラック/ブルー/ピンク),471万円,2026-09-17,807円,5.95%,584.23万,@kira_nazotoki,"2,635",7686457058228620552,https://www.tiktok.com/@kira_nazotoki/video/7686457058228620552
めくれるポーチ トラベルポーチ 小物ポーチ マルチポーチ 小物入れ コスメ収納 旅行 お出かけ アクセサリー ガジェット トラベルグッズ,342万円,2026-09-15,"2,895円",33.91%,117.98万,@bag_atrise,"7,013",7685686586930957586,https://www.tiktok.com/@bag_atrise/video/7685686586930957586
【肉厚1kg　銀鮭】 切り身 チリ産 冷凍 塩鮭 焼き魚 お弁当 朝ごはん 業務用,156万円,2026-09-12,"4,482円",47.51%,34.9万,@hapimaru_food,1.13万,7684582008047029512,https://www.tiktok.com/@hapimaru_food/video/7684582008047029512
【公式】 KITEN バルーンラッシュ まつ毛美容液 8ml,139万円,2026-09-15,661円,6.28%,210万,@mamikosuzukinozaki,286,7685587004028947713,https://www.tiktok.com/@mamikosuzukinozaki/video/7685587004028947713
【素肌アプデセット】エレキリフトジェルセット / ブライト エレキリフト 美顔器 Brighte ELEKI LIFT BLACK/ICE BLUE/PINK (ブライト エレキリフト ブラック/ブルー/ピンク),137万円,2026-08-24,"1,676円",3.73%,81.9万,@kira_nazotoki,"2,635",7677610103507275015,https://www.tiktok.com/@kira_nazotoki/video/7677610103507275015
柔らか肌触り メンズワイドパンツ 秋 ゆったりリラックスパンツ 無地ロングパンツ ウエストゴム 大きいサイズ M‑5XL,126万円,2026-09-08,"1,453円",17.03%,86.93万,@_tonsokuchan,541,7683077604575874324,https://www.tiktok.com/@_tonsokuchan/video/7683077604575874324
【挑戦価格】 令和８年度産・千葉県産コシヒカリ100％【9月中旬精米】 5kg｜ふっくら、やさしい甘みを毎日の食卓へ,124万円,2026-09-18,"5,277円",27.57%,23.49万,@hapimaru_food,1.13万,7686816047973911815,https://www.tiktok.com/@hapimaru_food/video/7686816047973911815
【公式】ELLISS-エルリス リポソーマルビタミンC 1000mg 選べるレモン風味 あまおう風味 30包,122万円,2026-09-17,175円,1.72%,694.18万,@furutftz7f6,1.14万,7686286682219482388,https://www.tiktok.com/@furutftz7f6/video/7686286682219482388
靴用洗濯ネット 2枚セット 洗濯機で丸洗い 上履き 洗濯ネット 靴 洗濯 スニーカー シューズネット 靴洗い ネット 上履き洗い ブラシ 靴用ネット 時短 家事 子供 2枚組,115万円,2026-09-08,523円,5.79%,219.61万,@marlotmg8c6,"2,033",7682771200916933906,https://www.tiktok.com/@marlotmg8c6/video/7682771200916933906
柔らか肌触り メンズワイドパンツ 秋 ゆったりリラックスパンツ 無地ロングパンツ ウエストゴム 大きいサイズ M‑5XL,107万円,2026-09-20,"1,360円",11.48%,78.41万,@roth.roth220,"1,334",7687523886639910152,https://www.tiktok.com/@roth.roth220/video/7687523886639910152
1【かわいいスクイーズおもちゃ】柔らかい食品用シリコン、スローバウンスでストレス解消おもちゃ Squishy W1,106万円,2026-09-18,"1,122円",12.84%,94.86万,@yamizooe,197,7686857143605021969,https://www.tiktok.com/@yamizooe/video/7686857143605021969
【公式】 KITEN バルーンラッシュ まつ毛美容液 8ml,102万円,2026-09-16,550円,6.18%,184.88万,@burichan4u,"1,177",7686072590775127317,https://www.tiktok.com/@burichan4u/video/7686072590775127317
Gap公式 リラックス ロゴ ジップアップパーカー メンズ 674144,101万円,2026-08-04,838円,9.63%,120.19万,@__3242r,1.48万,7670134970173639944,https://www.tiktok.com/@__3242r/video/7670134970173639944
1【かわいいスクイーズおもちゃ】柔らかい食品用シリコン、スローバウンスでストレス解消おもちゃ Squishy W2,100万円,2026-09-16,"1,444円",7.02%,69.19万,@yamizooe,197,7686054571558309127,https://www.tiktok.com/@yamizooe/video/7686054571558309127
柔らか肌触り メンズワイドパンツ 秋 ゆったりリラックスパンツ 無地ロングパンツ ウエストゴム 大きいサイズ M‑5XL,97万円,2026-09-17,"1,581円",19.44%,61.14万,@_tonsokuchan,541,7686451319070002452,https://www.tiktok.com/@_tonsokuchan/video/7686451319070002452
2026秋新作 ユニセックス カラフルマウンテンパーカー ビッグシルエット 防風アウター,97万円,2026-09-15,"1,620円",0%,59.93万,@rebekahming41,"4,005",7685736022348664072,https://www.tiktok.com/@rebekahming41/video/7685736022348664072
Tsuki-電動美容カッサ ボディケア機器 低評価は旧コード式の表示ミスによるものです｜現在は全て充電式 専用マッサージオイル  電動美容カッサ ボディケア機器 12段階= 6段階吸引＆6段温熱機能付き LED表示 USB充電式,95万円,2026-09-18,502円,0.63%,188.92万,@_tonsokuchan,541,7686818493399862549,https://www.tiktok.com/@_tonsokuchan/video/7686818493399862549
【公式】ELLISS-エルリス リポソーマルビタミンC 1000mg 選べるレモン風味 あまおう風味 30包,93万円,2026-09-18,197円,1.14%,473.15万,@remi...chan,2.72万,7686752126655089927,https://www.tiktok.com/@remi...chan/video/7686752126655089927
【100W急速充電】Type-C ケーブル 満充電で自動電源オフ 過充電防止 LEDライト付き 高耐久 高速データ転送 スマホ充電器 iPhone15/16/Android/MacBook/iPad対応,92万円,2026-09-19,"2,728円",37.62%,33.74万,@xxf5089,757,7687090762143649032,https://www.tiktok.com/@xxf5089/video/7687090762143649032
本革ミニ財布【choutrente シュトレンテ】 財布 レディース 二つ折り 本革 かわいい 小さい 小銭入れ付きカードケース じゃばら 財布 磁気 スキミング防止 ICカード RFID 京童工房【kc-01】,89万円,2026-07-14,367円,4.11%,242.57万,@usagi_mochi3,"1,613",7662032919678192917,https://www.tiktok.com/@usagi_mochi3/video/7662032919678192917
【今週限定58％オフ＋300円クーポン配布中】IroDori Plus 高反発防水ラグ｜おしゃれで快適な選択｜一年中使用可能｜撥水加工｜厚手・洗濯可能｜防音・滑り止め｜床暖・ホットカーペット対応｜柔らかマイクロファイバー・長方形・多サイズ展開,83万円,2026-09-15,395円,3.58%,209.44万,@wansan_minimal,"7,812",7685693260693736712,https://www.tiktok.com/@wansan_minimal/video/7685693260693736712
【新規購入者様限定！特別クーポン利用で50%OFF！！！】  レンジで焼鮭 ドドンと600g入！ 約10切入 グリル不要 冷凍 鮭 切り身 さけ 訳あり 焼き鮭 銀鮭 加熱済 1kg 個包装 切り落とし 塩鮭 家庭用 焼き魚 サケ 切身 冷凍食品 魚 冷凍鮭 鮭の切り身 自然解凍 そのまま レンチン B級 冷凍保存 朝食 時短 弁当 小分け,83万円,2026-09-16,"1,314円",15.74%,62.83万,@yuri.takutore40,"3,876",7685995975713754388,https://www.tiktok.com/@yuri.takutore40/video/7685995975713754388
【BARGOCH】ストッパー付き スーツケース 機内持ち込み フレームタイプ S/M/Lサイズ USB充電ポート カップホルダー 軽量 大容量 キャリーケース ダイヤルロック ダブルキャスター バッグ 1-3泊 4-6泊 7泊～ 最大2年保証,81万円,2026-09-14,766円,8.95%,106万,@enu7537,1.88万,7685336609448889621,https://www.tiktok.com/@enu7537/video/7685336609448889621
【澄んだ肌必】JOOCYEEヴェールグロウチーク 「AURA」ブラッシュ　 水光チーク 透けツヤ パール 透明感 光沢感 高発色,80万円,2026-09-16,"1,645円",16.43%,48.88万,@sandyy4814,"5,319",7686014850727791892,https://www.tiktok.com/@sandyy4814/video/7686014850727791892
BBX リポソームNMN リポソームビタミンCサプリ90錠（30日分）【医師監修/日本製】 栄養機能食品 ビタミンC ビタミンE ビオチン ビタミンA ビタミンD NMN サプリメント,79万円,2026-09-17,"8,617円",26.67%,9.23万,@satochan_goods,"1,988",7686355907206319381,https://www.tiktok.com/@satochan_goods/video/7686355907206319381
【水光チャージセット】エレキリフトジェル / ブライト エレキリフト 美顔器 Brighte ELEKI LIFT BLACK/ICE BLUE/PINK (ブライト エレキリフト ブラック/ブルー/ピンク),78万円,2026-09-17,"1,037円",10.82%,74.8万,@kira_nazotoki,"2,635",7686455793427795218,https://www.tiktok.com/@kira_nazotoki/video/7686455793427795218
【新色ストライプ登場】ジャージみたいなセットアップ テーラード ジャケット スラックス 洗える カジュアルスーツ 上下セット セットアップ メンズ スーツ  オフィスカジュアル ビジネスカジュアル,73万円,2026-09-15,600円,6.94%,122.01万,@lotus___life,"3,581",7685527773728754951,https://www.tiktok.com/@lotus___life/video/7685527773728754951
