カテゴリ,ショップ,商品名,価格,報酬率,アフィリエイトリンク,商品ID,ライブ
キッズ・ベビー,SOWAN（ソワン）,1～2枚セット アラン柄 スタイ 女の子 男の子 日本製 コットン つけ襟 360度 360°フリル 赤ちゃん よだれかけ よだれカバー ブランド おしゃれ かわいい お宮参りベビー服 新生児 出産準備 出産祝い ビブ ギフト セット くるくる よだれが多い 子 リブ 綿,"¥1,400〜¥2,010",15,https://affiliate.tiktok.com/api/v1/share/AKSowVPbD625,1734439099826276254,
キッズ・ベビー,SOWAN（ソワン）,3足セット オーガニックコットン ベビーレッグウォーマー,"¥1,640",15,https://affiliate.tiktok.com/api/v1/share/AKSowVN6Oag9,1731653623193438110,
キッズ・ベビー,SOWAN（ソワン）,numa-men コットン レギンス 70 80 90 100 110 120 日本製 秋冬 冬用 長ズボン 保育園着 幼稚園 入園 通園 ズボン 子供服 女の子 男の子 キッズ 赤ちゃん 韓国風 履きやすい ゆったり おすすめ ストレッチパンツ レギパン スパッツ シンプル ベビー服 かわいい,"¥1,770",15,https://affiliate.tiktok.com/api/v1/share/AKSp95nxoQGV,1733288919239657374,
キッズ・ベビー,SOWAN（ソワン）,tapupu ロンTEE パンツ セットアップ ベビー キッズ 保育園着 パジャマ ルームウェア,"¥2,180〜¥2,910",15,https://affiliate.tiktok.com/api/v1/share/AKSowVPc2DQg,1734568519734364062,
キッズ・ベビー,SOWAN（ソワン）,【1～2枚セット】 日本製 もっちり オーガニックコットン ネックウォーマー レディース メンズ 薄手 薄い 睡眠 おしゃれ かわいい 暖かい おやすみ 就寝 寝るとき 喉 首 フィット ルームウェア 敏感 肌 綿 肌 女の子 キッズ 男の子 コットン 秋冬 冬用 オールシーズン,"¥1,400〜¥1,890",15,https://affiliate.tiktok.com/api/v1/share/AKSowVPCBXFT,1734417497743198110,
キッズ・ベビー,SOWAN（ソワン）,【1～2枚セット】 日本製 もっちり シルク ネックウォーマー レディース メンズ 薄手 薄い 睡眠 おしゃれ かわいい 暖かい おやすみ 就寝 寝るとき 喉 首 フィット ルームウェア 敏感 肌 綿 肌 女の子 キッズ 男の子 コットン 秋冬 冬用 オールシーズン,"¥1,520〜¥2,180",15,https://affiliate.tiktok.com/api/v1/share/AKSp95oVMDDU,1734417297366681502,
キッズ・ベビー,SOWAN（ソワン）,【2タイプ選べる】ナイトキャップ シルク 日本製 レディース ロングヘア ショートヘア 子供 寝癖 毛先 かわいい 跡つかない おしゃれ 筒形 外れにくい 綿 保湿 睡眠 就寝,"¥2,420〜¥3,030",15,https://affiliate.tiktok.com/api/v1/share/AKSowVN67dsL,1735246331347896222,
キッズ・ベビー,SOWAN（ソワン）,【2枚セット】 フリルカラー スタイ エイトロック 女の子 男の子 日本製 コットン つけ襟 360度 360°フリル 赤ちゃん よだれかけ よだれカバー ブランド おしゃれ かわいい お宮参り ベビー 新生児 出産準備 出産祝い ビブ ギフト くるくる よだれが多い 子 リブ ベビー服,"¥1,880",15,https://affiliate.tiktok.com/api/v1/share/AKSp95oVdK4j,1734425016188372894,
キッズ・ベビー,SOWAN（ソワン）,【2枚セット】くすみカラー オーガニックコットン キッズ 1分丈 スパッツ パンツ  保育園着 かわいい ボクサーパンツ キッズ 男の子 女の子 男女兼用 ショートパンツ ボクサーパンツ インナーパンツ アンダーウェア 幼稚園 深履き 綿100 子供 入園準備,"¥1,640",15,https://affiliate.tiktok.com/api/v1/share/AKSp95mY5frG,1731957263657633694,
キッズ・ベビー,SOWAN（ソワン）,【2枚セット】オーガニックコットン キッズ 1分丈 スパッツ パンツ かわいい ボクサーパンツ キッズ 男の子 女の子 男女兼用 ショートパンツ ボクサーパンツ インナーパンツ アンダーウェア 幼稚園 保育園 小学校 中学校 通学 学生 深履き 綿100 子供 110 120 130 140,"¥1,770",15,https://affiliate.tiktok.com/api/v1/share/AKSowVPcaIK5,1734849462286321566,
