campaign,campaign_id,shop,products,rate_min,rate_max,rate_label,rate_detail,categories,started,latest,shop_count,rep_image,rep_name
XBJ様 x EnterCommerce株式会社,7677442233972295431,XBJ,3,13.0,13.0,13%,13%×3件,家電,2026-08-24,2026-08-24,1,product-images/1731801414172313518.jpeg,XBJポータブルプロジェクター — 1080Pビデオプロジェクター、デュアルバンドWi‑Fi 6、5Gワイヤレス、Bluetooth 5.3、Android 11、180度回転可能、自動ケystone補正 — ホームエンターテインメントに最適なホリデーギフト
PETHROOM様,7675982549403256583,PETHROOM Japan,17,15.0,15.0,15%,15%×17件,ペット,2026-08-20,2026-08-20,1,product-images/1733278262453568553.jpeg,【公式】イージーフェイシャルコーム｜犬用・猫用 コーム 涙やけ 目元ケア グルーミング ペットコーム グルーミング
SaiKuCo様 x EnterCommerce株式会社,7675983715751872274,複数ショップ（2店舗）,11,17.0,22.0,17%〜22%,22%×7件｜17%×4件,生活・雑貨／美容・コスメ／ファッション・アパレル,2026-08-20,2026-08-20,3,product-images/1735065298916050349.jpeg,眉毛 シェーバー レディース フェイスシェーバー 女性 フェイス用ムダ毛 女性用 電動カミソリ 顔剃り USB充電 コードレス マユコーム付き お肌に優しい 眉毛カッター 痛くない 眉 顔用 うぶ毛 産毛 コンパクト
LeoClie様 x EnterCommerce株式会社,7675946517380515592,【公式】LeoClieオンラインショップ,3,1.0,1.0,1%,1%×3件,美容・コスメ,2026-08-20,2026-08-20,1,product-images/1731973431606150689.jpeg,【新登場】センスウェア 練り香水 ホワイトリリー ｜メンズ香水 モテ香水 ベルガモット ホワイトムスク ウッド バニラ フローラル シトラス フェロモン成分配合 SENSE WEAR
26/08以降 Beelicious様 × EnterCommerce,7675207249816684306,BeeliciousOfficial,4,15.0,15.0,15%,15%×4件,生活・雑貨,2026-08-18,2026-08-18,1,product-images/1731949276221769405.jpeg,Beelicious ノンフライヤー 4.5L 大容量、静音マットブラック / 木目調（指紋が目立ちにくい）・見える窓付き、エアフライヤー、油カット、省エネ、最高温度・220°C、1-5人用、家庭用、テーブルトップ、電動フライヤー
王子製薬,7671148890171574024,OUJISHOP 王子製薬,2,9.0,9.0,9%,9%×2件,美容・コスメ,2026-08-07,2026-08-07,1,,
26/07月以降atRise様 x EnterCommerce,7663391742758536968,atRise（アットライズ）,14,12.0,12.0,12%,12%×14件,生活・雑貨／キッズ・ベビー,2026-07-17,2026-07-17,1,product-images/1732085209077417457.jpeg,トラベルポーチ 圧縮 おしゃれ 圧縮袋 衣類 旅行 圧縮ポーチ 収納ポーチ 圧縮 コンパクト 収納 水洗い可 仕切り ファスナー 国内旅行 海外旅行 メンズ レディース 軽量 トラベルグッズ 圧縮バッグ atRise
松屋様 x EnterCommerce,7662600653923993362,【公式】松屋オンラインショップ,3,5.0,5.0,5%,5%×3件,食品,2026-07-15,2026-07-15,1,product-images/1732708346533282899.jpeg,【大容量リピ確定BOX】松屋 公式 牛めしの具 プレミアム仕様 牛めし 牛丼の具 まつや 牛丼 食品 グルメ 冷凍 冷凍食品 送料無料 おかず 惣菜 お弁当 非常食
NOVARCA様 × EnterCommerce,7662202298835994375,複数ショップ（2店舗）,3,12.0,17.0,12%〜17%,17%×2件｜12%×1件,食品／ファッション・アパレル,2026-07-14,2026-07-14,2,product-images/1736118791207945802.jpeg,【公式】ティーフレックスTeaflex ルイボス ティー Teaflex SLEEP NIGHT PEACH スリープナイトピーチルイボスティー 安眠 ハーブティー 機能性表示食品 睡眠の質向上 ぐっすり ルイボス カフェインレス
バッカス様 x EnterCommerce,7661931626558244626,株式会社バッカス,4,35.0,35.0,35%,35%×4件,ファッション・アパレル／食品,2026-07-13,2026-07-13,1,product-images/1733956691836044688.jpeg,【公式】特別カラー Pitsole (ピットソール) - 200万足突破! 体重最大-5.3kg 体脂肪最大-3.8kg XS/S/M/L 単品
FALAMI様 x EnterCommerce,7660287214173292295,Falami,8,12.0,12.0,12%,12%×8件,ファッション・アパレル,2026-07-09,2026-07-09,1,product-images/1731706754416281293.jpeg,目元パック ヒアルロン酸パッチ ニードルパッチ[12回分] コラーゲンとマイクロニードル 2in1パッチ 目の下 眉間 口元 目元ケア 男性用 女性用
26/7月以降 Nature In様,7659194072054630152,Nature In【公式】,7,10.0,22.0,10%〜22%,22%×1件｜20%×5件｜10%×1件,美容・コスメ,2026-07-06,2026-07-06,1,product-images/1736241273931204421.jpeg,Nature In リポソームビタミンC 1000mg サプリ 1粒250mg 【1袋360粒入/90日分】 国内 GMP 製造 ネイチャーイン
ダニ捕りロボ様 x EnterCommerce,7659253415869187847,ダニ捕りロボ,1,15.0,15.0,15%,15%×1件,生活・雑貨,2026-07-06,2026-07-06,1,product-images/1736221831096862509.jpeg,【ダニ増殖抑制率99.9%以上】ダニ捕りロボ 本体 ( レギュラー 1個 ) 日本製 乾燥 ( ダニ取りシート / 3か月有効 / 殺虫剤成分ゼロ ) 赤ちゃん ペットにも安心 日革研究所
PHOEBE BEAUTY UP様,7657644188943533842,PHOEBE BEAUTY UP,7,13.0,35.0,13%〜35%,35%×1件｜25%×1件｜22%×1件｜18%×3件｜13%×1件,美容・コスメ,2026-07-02,2026-07-02,1,product-images/1734387011059942799.jpeg,【公式】アイラッシュセラムN2（まつ毛美容液）フィービー ビューティーアップ
下町バームクーヘン様 x EnterCommerce,7657843788182112018,下町バームクーヘン,6,7.0,7.0,7%,7%×6件,食品,2026-07-02,2026-07-02,1,product-images/1731785896277149269.jpeg,【限界メガ盛りチャレンジBOX】【お得用簡易包装】バームクーヘン メガ盛り1kg 大容量の訳ありバームクーヘンメガ盛り切り落とし ※当商品は常温賞味期限約30日です。常温での発送となります。  簡易包装でお届けしております。そのため、商品に割れや崩れが生じる場合がございます。  ただし、品質や味には一切問題ございませんので、安心してお召し上がりください。
若翔様 x EnterCommerce,7655199501419136786,若翔,2,9.0,9.0,9%,9%×2件,食品,2026-06-25,2026-06-25,1,product-images/1735770306275083514.jpeg,【味の選択可能】チアシード蒟蒻ゼリー 30個セット（ぶどう・りんご・もも・レモン）｜美容＆健康習慣のおやつ 4セット以上のご購入で50%オフ
MerachJP様 x EnterCommerce,7654860512728090375,Merach.Japan,13,10.0,10.0,10%,10%×13件,スポーツ,2026-06-24,2026-06-24,1,product-images/1731583864194041789.jpeg,MERACH ステアステッパー ハンドルバー付き、LCDディスプレイ、150KG容量、運動用クライマーエクササイズマシン、男女兼用ホームフィットネス器具
