campaign,campaign_id,shop,category,cat_src,name,price,rate,aff,product_id,image,start,end,live
PHOEBE BEAUTY UP様,7657644188943533842,PHOEBE BEAUTY UP,美容・コスメ,id,【公式】アイラッシュセラムN2（まつ毛美容液）フィービー ビューティーアップ,"4,664円",35.0,https://affiliate.tiktok.com/api/v1/share/ALL5LmXMCLUX,1734387011059942799,product-images/1734387011059942799.jpeg,2026-07-02,2027-06-30,
バッカス様 x EnterCommerce,7661931626558244626,株式会社バッカス,ファッション・アパレル,shop,【公式】特別カラー Pitsole (ピットソール) - 200万足突破! 体重最大-5.3kg 体脂肪最大-3.8kg XS/S/M/L 単品,"6,578円",35.0,https://affiliate.tiktok.com/api/v1/share/ALJh4uGgRsHf,1733956691836044688,product-images/1733956691836044688.jpeg,2026-07-13,2027-07-01,
バッカス様 x EnterCommerce,7661931626558244626,株式会社バッカス,ファッション・アパレル,shop,【公式】Room shoes by Pitsole (ルームシューズバイピットソール) - 累計200万足突破! 体重最大-5.3kg 体脂肪最大-3.8kg 22~28cm 単品,"6,578円",35.0,https://affiliate.tiktok.com/api/v1/share/ALJh4uPbR7yE,1733992902167397776,product-images/1733992902167397776.jpeg,2026-07-13,2027-07-01,
バッカス様 x EnterCommerce,7661931626558244626,株式会社バッカス,ファッション・アパレル,shop,【公式】 Pitsole for kids(ピットソールキッズ) - 200万足突破! お子様用特殊設計インソール,"6,578円",35.0,https://affiliate.tiktok.com/api/v1/share/ALJgz1XbbLt9,1734088660182926736,product-images/1734088660182926736.jpeg,2026-07-13,2027-07-01,
バッカス様 x EnterCommerce,7661931626558244626,株式会社バッカス,食品,kw>shop,Oigurt-オイグルト- 機能性表示食品 健康食品 ヨーグルトパウダー 健康サプリ 便通 改善 乳酸菌 30袋入り,"6,980円",35.0,https://affiliate.tiktok.com/api/v1/share/ALJh4uGgiuLE,1735688905418835344,product-images/1735688905418835344.jpeg,2026-07-13,2027-07-01,
TIRTIR様×EnterCommerce,7612865217580959495,tirtir.jp,美容・コスメ,id,TIRTIR  マスクフィットレッドクッション SPF40 PA++  72時間持続 密着カバー ツヤ肌 長時間キープ ファンデーション クッションファンデ 韓国コスメ,"2,673円",30.0,https://affiliate.tiktok.com/api/v1/share/ALL8bPimxHnL,1732263809155041215,product-images/1732263809155041215.jpeg,2026-03-03,2026-12-31,
TIRTIR様×EnterCommerce,7612865217580959495,tirtir.jp,美容・コスメ,id,TIRTIR マスクフィットクリスタルメッシュクッション  SPF50+ PA++++ 72時間持続 濃密カバー力 グロウカバー ツヤ 高光沢フォーミュラ スキンケア成分 透明感 長時間キープ ファンデーション クッションファンデ 韓国コスメ,"2,673円",30.0,https://affiliate.tiktok.com/api/v1/share/ALL8e0d3XbWE,1732296316203927487,product-images/1732296316203927487.jpeg,2026-03-03,2026-12-31,
TIRTIR様×EnterCommerce,7612865217580959495,tirtir.jp,美容・コスメ,id,TIRTIR マスクフィットAIフィルタークッション SPF30 PA++ AIフィルター セミマット カバー力 長時間キープ ファンデーション クッションファンデ 韓国コスメ,"2,673円",30.0,https://affiliate.tiktok.com/api/v1/share/ALL8e0dwoVwJ,1732296701896853439,product-images/1732296701896853439.jpeg,2026-03-03,2026-12-31,
TIRTIR様×EnterCommerce,7612865217580959495,tirtir.jp,美容・コスメ,id,TIRTIR　マスクフィットデュアルコンシーラー　スティック リキッド  デュアルタイプ コンシーラー 密着力 カバー力  韓国コスメ,"1,634円",30.0,https://affiliate.tiktok.com/api/v1/share/ALL8bPinENaj,1732410196709836735,product-images/1732410196709836735.jpeg,2026-03-03,2026-12-31,
TIRTIR様×EnterCommerce,7612865217580959495,tirtir.jp,美容・コスメ,id,TIRTIR　マスクフィットメイクアップフィクサー　1日中メイクキープ エアーフィットフィニッシュ　パウダー成分含有 マスク汚れ防止  密着力 メイクキープフィクサー 韓国コスメ,"1,485円",30.0,https://affiliate.tiktok.com/api/v1/share/ALL8e0d3oei1,1732410330061047743,product-images/1732410330061047743.jpeg,2026-03-03,2026-12-31,
